,Name,Accepts Cryptocurrency,All Day Breakfast,Available for Functions,BYO,BYO Cake,BYO Food,Beer,Beer Tasting,Breakfast,Brunch,Buffet,Category 1,Category 2,Catering Available,Corkage Fee Charged,Cost,Craft Beer,Cuisine 1,Cuisine 2,Cuisine 3,Cuisine 4,Cuisine 5,Dairy Free,Degustation,Delivery Only,Desserts and Bakes,Drive Thru,Entry Fee,FODMAP Friendly,Farm-to-Table,Feed Me Menu,Free Parking,Full Bar Available,Garden,Gastro Pub,Gin Tasting,Gluten Free Options,Group Bookings Available,Group Meal,High Tea,Home Delivery,Indoor Seating,Izakaya,Kaiseki,Kid Friendly,Known For,Kosher,Live Entertainment,Live Music,Live Sports Screening,Location 1,Location 2,Location 3,Location 4,Location 5,Lunch Menu,Luxury Dining,Natural Wine,Nightlife,No Alcohol Available,Number of Blogs,Number of Photos,Number of Reviews,Omakase Available,Open 24/7,Outdoor Seating,Payments,Pet Friendly,Pram Friendly,Pre-Theatre Menu,Rating,Restricted Entry,Rooftop,Sake,Seating Not Available,Serves Alcohol,Serves Cocktails,Serves Halal,Set Menu,Shared Plates,Shisha,Smoking Area,Soju,Split Bills,Sports Bar,Sushi Train,Table Reservation Not Required,Table booking for Groups,Table booking not available,Table booking recommended,Table reservation required,Takeaway Available,Takeaway Only,Total Opening Hours (Weekly),Vegan Options,Vegetarian Friendly,Waterfront,Wheelchair Accessible,Whisky Tasting,Wifi,Wine,Wine Cellar,Wine Tasting,Wine and Beer,VADER Score (Compound),TextBlob Score,TextBlob Score (Categorical)
0,Rice Paper Scissors,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Casual Dining,Not specified,Not specified,Not specified,80.0,Not specified,Asian Fusion,Tapas,Not specified,Not specified,Not specified,True,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,True,Not specified,True,Not specified,Not specified,Not specified,True,Not specified,Not specified,Not specified,Not specified,True,Not specified,Not specified,Not specified,Modeled on the hawker dining bars of South East Asia with a shared-eating concept,Not specified,Not specified,Not specified,Not specified,Australia,Melbourne,CBD,Liverpool Street,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,51.0,2756.0,2355.0,Not specified,Not specified,True,Cash and Cards accepted,Not specified,Not specified,Not specified,4.8,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,True,Not specified,Not specified,Not specified,51.0,True,True,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,0.8257108108108108,0.26981399997024996,Positive
1,Mansae Korean BBQ & Bar,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Casual Dining,Not specified,Not specified,Not specified,100.0,Not specified,Korean,Korean BBQ,Not specified,Not specified,Not specified,True,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,True,Not specified,Not specified,Not specified,True,Not specified,Not specified,Not specified,Not specified,True,Not specified,Not specified,True,"Korean barbecue in a clean shop fit out, it features a concise menu highlighting premium quality beef",Not specified,Not specified,Not specified,Not specified,Australia,Melbourne,CBD,A'Beckett Street,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,6.0,276.0,223.0,Not specified,Not specified,Not specified,Cash and Cards accepted,Not specified,Not specified,Not specified,4.8,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,True,Not specified,True,Not specified,33.5,True,True,Not specified,True,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,0.830623770491803,0.31799789019841734,Positive
2,Scoopy Milk Bar by HWKR,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Casual Dining,Not specified,Not specified,Not specified,30.0,Not specified,Korean,Malaysian,Asian,Not specified,Not specified,Not specified,Not specified,Not specified,True,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,True,Not specified,Not specified,Not specified,"Tuckshop teaming up with Scoopy, shaving popular Korean shaved ice dessert, bingsu, alongside Malaysian hawker favourites",Not specified,Not specified,Not specified,Not specified,Australia,Melbourne,CBD,A'Beckett Street,HWKR Food Centre,Not specified,Not specified,Not specified,Not specified,True,2.0,132.0,164.0,Not specified,Not specified,Not specified,Cash and Cards accepted,Not specified,Not specified,Not specified,4.7,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,True,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,75.5,Not specified,True,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,0.8831556451612905,0.31674379546735587,Positive
3,Humble Rays,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,True,True,Not specified,Café,Not specified,Not specified,Not specified,45.0,Not specified,Coffee and Tea,Cafe Food,Asian Fusion,Not specified,Not specified,True,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,True,Not specified,Not specified,Not specified,Not specified,True,Not specified,Not specified,True,Asian influenced new-style brunch dishes in a cheerful plant-strung haven,Not specified,Not specified,Not specified,Not specified,Australia,Melbourne,Inner North,Carlton,Not specified,Not specified,Not specified,Not specified,Not specified,True,22.0,2247.0,1792.0,Not specified,Not specified,True,Cash and Cards accepted,Not specified,Not specified,Not specified,4.8,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,True,Not specified,Not specified,Not specified,Not specified,True,Not specified,56.0,True,True,Not specified,True,Not specified,True,Not specified,Not specified,Not specified,Not specified,0.8379378752886844,0.31143902680985774,Positive
4,Dodee Paidang,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,True,Not specified,Not specified,Casual Dining,Not specified,Not specified,Not specified,105.0,Not specified,Thai,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,True,Not specified,Not specified,Not specified,True,Not specified,Not specified,Not specified,Not specified,True,Not specified,Not specified,Not specified,Extensive menu with authentic Thai flavours and vibrant ambience,Not specified,Not specified,Not specified,Not specified,Australia,Melbourne,CBD,Little Collins Street,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,3.0,763.0,804.0,Not specified,Not specified,Not specified,Cash and Cards accepted,Not specified,True,Not specified,4.5,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,True,Not specified,True,Not specified,0.0,True,True,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,0.7996382352941177,0.24105387400841144,Positive
5,Chin Chin,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Casual Dining,Not specified,Not specified,Not specified,135.0,Not specified,Thai,Asian,Fusion,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,True,Not specified,True,Not specified,Not specified,Not specified,True,True,Not specified,Not specified,Not specified,True,Not specified,Not specified,Not specified,"A local hot spot with dim, lively ambience & Mod-Thai dishes of complexity & generosity by The Lucas Group's executive chef, Benjamin Cooper",Not specified,Not specified,Not specified,Not specified,Australia,Melbourne,CBD,Flinders Lane,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,276.0,3142.0,10518.0,Not specified,Not specified,Not specified,Cash and Cards accepted,Not specified,Not specified,Not specified,4.7,Not specified,Not specified,Not specified,Not specified,Not specified,True,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,True,Not specified,Not specified,Not specified,85.0,True,True,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,0.7904953488372095,0.21313112133868922,Positive
6,Calia,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Casual Dining,Not specified,Not specified,Not specified,55.0,Not specified,Japanese,Australian,Asian,Not specified,Not specified,Not specified,Not specified,Not specified,True,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,True,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,True,Not specified,Not specified,True,"A unique restaurant-to-retail experience, bringing premium Japanese fusion cuisine to Melbourne",Not specified,Not specified,Not specified,Not specified,Australia,Melbourne,CBD,Lonsdale Street,Emporium Melbourne,Not specified,Not specified,Not specified,Not specified,Not specified,26.0,2844.0,1425.0,Not specified,Not specified,Not specified,Cash and Cards accepted,Not specified,Not specified,Not specified,4.5,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,67.0,True,True,Not specified,True,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,0.7493096153846152,0.26429682641395263,Positive
7,Jinda Thai Restaurant,Not specified,Not specified,True,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Casual Dining,Not specified,Not specified,True,80.0,Not specified,Thai,Not specified,Not specified,Not specified,Not specified,True,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,True,Not specified,Not specified,Not specified,True,Not specified,Not specified,Not specified,Not specified,True,Not specified,Not specified,True,Authentic Thai food in a comfortable warehouse setting,Not specified,Not specified,Not specified,Not specified,Australia,Melbourne,Inner East,Abbotsford,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,70.0,2350.0,3019.0,Not specified,Not specified,Not specified,Cash only,Not specified,Not specified,Not specified,4.6,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,True,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,True,Not specified,True,Not specified,38.0,True,True,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,0.6530580645161291,0.19881643848982553,Positive
8,The Hardware Societe,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,True,True,Not specified,Café,Not specified,Not specified,Not specified,60.0,Not specified,French,Cafe Food,Coffee and Tea,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,True,Not specified,Not specified,Not specified,Not specified,True,Not specified,Not specified,Not specified,Fiendishly creative egg fabrications,Not specified,Not specified,Not specified,Not specified,Australia,Melbourne,CBD,Katherine Place,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,283.0,4176.0,8535.0,Not specified,Not specified,True,Cash and Cards accepted,Not specified,Not specified,Not specified,4.6,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,51.5,Not specified,True,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,True,0.7338661016949152,0.2664796941414944,Positive
9,Universal Restaurant,Not specified,Not specified,True,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Casual Dining,Not specified,Not specified,Not specified,70.0,Not specified,Italian,Modern Australian,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,True,Not specified,Not specified,Not specified,Not specified,True,Not specified,Not specified,True,Authentic Italian cooking style and substantial meals at an affordable price,Not specified,Not specified,Not specified,Not specified,Australia,Melbourne,Inner North,Carlton,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,24.0,780.0,1283.0,Not specified,Not specified,True,Cash and Cards accepted,Not specified,Not specified,Not specified,4.3,Not specified,Not specified,Not specified,Not specified,Not specified,True,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,True,Not specified,Not specified,True,Not specified,85.0,True,True,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,True,0.8285692307692307,0.17965748487623487,Positive
